ID No,Depth,Temperature
356,349,3.95
357,382,3.75
358,294,3.45
359,304,3.65
363,384,3.35
364,344,3.65
365,347,3.55
366,300,3.85
367,260,2.95
368,256,3.35
369,254,2.55
370,297,2.65
371,332,2.85
372,358,1.95
373,320,1.65
375,285,1.25
376,285,0.15
377,234,0.65
378,228,0.55
379,227,0.35
380,268,0.95
381,295,2.85
382,290,3.05
383,308,3.25
384,350,3.35
385,280,3.35
386,234,3.15
387,305,2.85
388,296,1.65
389,286,2.35
390,277,1.85
391,294,0.95
392,255,1.25
393,305,0.55
394,297,0.75
395,348,2.15
396,350,2.45
397,334,2.45
398,300,2.45
399,290,2.95
400,273,3.35
401,335,3.35
402,438,1.85
403,440,2.15
404,382,2.15
405,358,1.85
406,315,0.65
407,285,0.95
409,225,0.35
410,300,1.35
411,347,0.55
412,306,0.75
413,311,1.15
414,272,0.35
415,306,0.55
416,375,1.05
417,327,0.95
418,317,0.95
419,256,0.35
420,278,0.55
428,342,0.85
429,380,1.25
430,384,1.05
431,373,1.15
432,372,1.65
439,394,1.85
440,395,1.35
441,362,0.85
442,324,1.05
443,332,1.15
444,379,1.05
445,408,1.45
446,415,1.55
447,439,1.85
448,398,2.05
449,399,1.85
450,434,2.05
451,455,1.65
453,370,1.45
454,474,1.55
455,486,1.65
456,362,1.65
457,263,1.55
458,209,1.85
459,215,2.35
460,420,2.05
461,432,1.85
462,167,4.45
465,462,1.95
